ID,State,Weather_Condition,Road_Condition,Sunrise_Sunset,Severity,Start_Time
62,CA,Rain,Dry,Night,3,2024-01-03 22:00
63,NY,Clear,Dry,Day,2,2024-01-03 23:00
64,NY,Clear,Ice,Night,1,2024-01-04 00:00
65,WA,Rain,Dry,Night,4,2024-01-04 01:00
66,CA,Fog,Dry,Day,3,2024-01-04 02:00
67,TX,Clear,Dry,Day,4,2024-01-04 03:00
68,NY,Fog,Wet,Day,3,2024-01-04 04:00
69,CA,Snow,Ice,Day,4,2024-01-04 05:00
70,FL,Fog,Wet,Day,3,2024-01-04 06:00
71,WA,Rain,Dry,Night,3,2024-01-04 07:00
72,CA,Rain,Dry,Night,4,2024-01-04 08:00
73,WA,Rain,Dry,Day,3,2024-01-04 09:00
74,CA,Cloudy,Wet,Day,1,2024-01-04 10:00
75,NY,Clear,Wet,Night,1,2024-01-04 11:00
76,CA,Cloudy,Dry,Night,2,2024-01-04 12:00
77,WA,Clear,Ice,Night,2,2024-01-04 13:00
78,WA,Snow,Ice,Night,4,2024-01-04 14:00
79,NY,Snow,Ice,Night,1,2024-01-04 15:00
80,WA,Cloudy,Ice,Day,4,2024-01-04 16:00
81,WA,Rain,Wet,Day,1,2024-01-04 17:00
82,FL,Fog,Wet,Night,2,2024-01-04 18:00
83,TX,Snow,Dry,Night,1,2024-01-04 19:00
84,FL,Rain,Ice,Day,3,2024-01-04 20:00
85,NY,Rain,Ice,Night,3,2024-01-04 21:00
86,CA,Fog,Ice,Day,4,2024-01-04 22:00
87,FL,Rain,Ice,Night,2,2024-01-04 23:00
88,CA,Fog,Wet,Night,4,2024-01-05 00:00
89,CA,Fog,Wet,Night,4,2024-01-05 01:00
90,WA,Rain,Wet,Day,3,2024-01-05 02:00
91,WA,Snow,Dry,Night,1,2024-01-05 03:00
92,WA,Snow,Ice,Night,3,2024-01-05 04:00
93,FL,Cloudy,Dry,Night,2,2024-01-05 05:00
94,CA,Rain,Dry,Night,1,2024-01-05 06:00
95,NY,Snow,Wet,Night,3,2024-01-05 07:00
96,FL,Fog,Dry,Day,2,2024-01-05 08:00
97,CA,Rain,Dry,Night,1,2024-01-05 09:00
98,NY,Snow,Wet,Night,4,2024-01-05 10:00
99,WA,Rain,Wet,Night,2,2024-01-05 11:00
100,CA,Cloudy,Wet,Night,3,2024-01-05 12:00
